cashTotalSum;dateTime;ecashTotalSum;fiscalDocumentNumber;fiscalDriveNumber;fiscalSign;items_name;items_nds18;items_price;items_quantity;items_sum;kktRegId;nds18;operationType;operator;receiptCode;requestNumber;shiftNumber;taxationType;totalSum;userInn;createdAt;timeLastAccess
0;2019-03-16T15:08:00;100760;115337;9285000100050647;2088230062;ТРК №8 Бензин автомобильный ЭКТО-92 (АИ-92-К5);;3359;30;100770;0000003064000699;16795;1;Оператор АЗС Коробский С. А.;3;788;88;1;100760;2309051942;;
0;2019-04-07T09:11:00;86200;33146;9285000100125346;860025202;АИ-92-К5        N 6;;4310;20;86200;0000477088038449    ;14367;1;КАССИР: Соколова В.А.;3;35;79;1;86200;2309003018;;
0;2019-04-15T19:26:00;679300;7548;9288000100068649;2442674239;1616061 42.0 Полуботинки;;479700;1;479700;0002023730033213;;1;Старцева Светлана Вячеславовна;3;15;307;8;679300;9909342544;;
0;2019-04-15T19:26:00;679300;7548;9288000100068649;2442674239;1837665 38.0 Туфли;;199600;1;199600;0002023730033213;;1;Старцева Светлана Вячеславовна;3;15;307;8;679300;9909342544;;
0;2019-04-15T19:27:00;24300;7549;9288000100068649;3709311729;19004 0.0 РАСТЯЖИТЕЛЬ ПЕНА Д/ОБУВИ;;24300;1;24300;0002023730033213;;1;Старцева Светлана Вячеславовна;3;16;307;8;24300;9909342544;;
57300;2019-04-28T16:28:00;0;15723;8711000101647268;317121782;КОНТЕЙНЕР Д/АНАЛИЗА КАЛА/БИОМАТ. СТЕР. 120МЛ. ВИНТ.КРЫШ. И/У;;1500;1;1500;0002826825047323    ;;1;Янкина Т.Н.;3;35;147;8;57300;2310034405;;
57300;2019-04-28T16:28:00;0;15723;8711000101647268;317121782;АРБИДОЛ 100МГ. №20 КАПС.;;52600;1;52600;0002826825047323    ;;1;Янкина Т.Н.;3;35;147;8;57300;2310034405;;
57300;2019-04-28T16:28:00;0;15723;8711000101647268;317121782;МАСКА МЕД. ТРЕХСЛОЙНАЯ (3-Х) НА РЕЗИНКЕ №50 /КАЗАНСКАЯ ФФ/;;15000;0.2;3000;0002826825047323    ;;1;Янкина Т.Н.;3;35;147;8;57300;2310034405;;
57300;2019-04-28T16:28:00;0;15723;8711000101647268;317121782;ПАКЕТ МАЙКА 24Х49СМ.;;200;1;200;0002826825047323    ;;1;Янкина Т.Н.;3;35;147;8;57300;2310034405;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3300573 Пакет ПЯТЕРОЧКА 65х40см;;500;1;500;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;*3275504 РЕС.ОБЛ.Фасоль гиг.зап.с ов430г;;8999;1;8999;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3431069 МОРОЗКО GREEN Овощное трио 400г;;7660;1;7660;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3431069 МОРОЗКО GREEN Овощное трио 400г;;7660;1;7660;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3909337 ЮГ РУСИ Штруд.нач.чер.смор.130г;;2620;1;2620;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3909337 ЮГ РУСИ Штруд.нач.чер.смор.130г;;2620;1;2620;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;2090594 Морож.БОЛЬШ.ПАПА рож.ч.смор130г;;5870;1;5870;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;2090594 Морож.БОЛЬШ.ПАПА рож.ч.смор130г;;5870;1;5870;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-01T11:04:00;44789;158681;8716000100011516;2113180254;3294954 Лимоны                      1кг;;12999;0.23;2990;0000371377020387;4635;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;108;417;1;44789;7825706086;;
0;2019-05-02T08:01:00;14990;2104;9285000100137447;3826149760;Кулич "Пасхальный" 0,125кг (СП ГМ);;1200;1;1200;0000087423021832;1983;1;;3;2;11;1;14990;2310031475;;
0;2019-05-02T08:01:00;14990;2104;9285000100137447;3826149760;Слойка с вишней 0,08кг фл/п(Гуковская М.Ю);;1890;1;1890;0000087423021832;1983;1;;3;2;11;1;14990;2310031475;;
0;2019-05-02T08:01:00;14990;2104;9285000100137447;3826149760;ВИНСТОН ИксСтайл Сильвер Сигареты МРЦ 126(ДжТИ):10/500;;11900;1;11900;0000087423021832;1983;1;;3;2;11;1;14990;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;САДЫ ПРИДОНЬЯ Нектар ябл-морковный 1л(Сады Придонья):12;;8690;1;8690;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;ПАКЕТ МАГНИТ белый (КСО):2700;;390;1;390;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;SOFT Бум/салф белые 100лист(Россия):36;;1630;4;6520;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;SOFT Туалетная Бумага 2сл 4рул 100% Целл(Россия):14;;5190;2;10380;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;РОССИЯ Шоколад молочный пористый белый 82г вак/уп(Нестле):;;3990;1;3990;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;LAYS Чипсы со вкусом сметаны и лука 225г (ФритоЛэй):7;;10900;1;10900;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-02T17:55:00;52770;112235;8710000101876893;1039647321;ВИНСТОН ИксСтайл Сильвер Сигареты МРЦ 126(ДжТИ):10/500;;11900;1;11900;0000398948016447;7347;1;Старший кассир Унджугулян;3;39;378;1;52770;2310031475;;
0;2019-05-03T08:38:00;16670;2207;9285000100137447;2011612252;Пирожок с вишней 0,07кг фл/п(Гуковская М.Ю);;1890;1;1890;0000087423021832;1983;1;;3;4;12;1;16670;2310031475;;
0;2019-05-03T08:38:00;16670;2207;9285000100137447;2011612252;Пирожок с черной смородиной 70г п/уп(Гуковская М.Ю);;1690;1;1690;0000087423021832;1983;1;;3;4;12;1;16670;2310031475;;
0;2019-05-03T08:38:00;16670;2207;9285000100137447;2011612252;Булочка крем-брюле начин 0,065кг фл/п(Абачараев А.С);;1190;1;1190;0000087423021832;1983;1;;3;4;12;1;16670;2310031475;;
0;2019-05-03T08:38:00;16670;2207;9285000100137447;2011612252;ВИНСТОН ИксСтайл Сильвер Сигареты МРЦ 126(ДжТИ):10/500;;11900;1;11900;0000087423021832;1983;1;;3;4;12;1;16670;2310031475;;
0;2019-05-03T16:12:00;7300;4718;9285000100137630;3705579598;Биг Сэндвич с сосиской 300г(СП ГМ);;7300;1;7300;0000398916037866;;1;Старший кассир Унджугулян;3;87;22;1;7300;2310031475;;
